id,password,name,location,balance,income_yearly,purchase_type,purchase_amount,purchase_date,income_weekly
1,pass1#Ge,Alex Morgan,Georgia,5187.53,77746,Food,69.93,2025-03-03,1495.1153846153845
1,pass1#Ge,Alex Morgan,Georgia,5187.53,77746,Utilities,160.22,2025-03-03,1495.1153846153845
1,pass1#Ge,Alex Morgan,Georgia,5187.53,77746,Housing,524.56,2025-03-03,1495.1153846153845
1,pass1#Ge,Alex Morgan,Georgia,5187.53,77746,Transport,55.53,2025-03-03,1495.1153846153845
1,pass1#Ge,Alex Morgan,Georgia,5187.53,77746,Entertainment,46.1,2025-03-03,1495.1153846153845
1,pass1#Ge,Alex Morgan,Georgia,5187.53,77746,Healthcare,161.59,2025-03-03,1495.1153846153845
2,pass2#Ge,Jordan Harris,Georgia,395.08,48313,Food,71.72,2025-03-03,929.0961538461538
2,pass2#Ge,Jordan Harris,Georgia,395.08,48313,Utilities,140.14,2025-03-03,929.0961538461538
2,pass2#Ge,Jordan Harris,Georgia,395.08,48313,Housing,756.47,2025-03-03,929.0961538461538
2,pass2#Ge,Jordan Harris,Georgia,395.08,48313,Transport,33.91,2025-03-03,929.0961538461538
2,pass2#Ge,Jordan Harris,Georgia,395.08,48313,Entertainment,81.72,2025-03-03,929.0961538461538
2,pass2#Ge,Jordan Harris,Georgia,395.08,48313,Healthcare,22.12,2025-03-03,929.0961538461538
3,pass3#Ge,Taylor Reed,Georgia,2345.23,58979,Food,23.15,2025-03-03,1134.2115384615386
3,pass3#Ge,Taylor Reed,Georgia,2345.23,58979,Utilities,80.73,2025-03-03,1134.2115384615386
3,pass3#Ge,Taylor Reed,Georgia,2345.23,58979,Housing,199.35,2025-03-03,1134.2115384615386
3,pass3#Ge,Taylor Reed,Georgia,2345.23,58979,Transport,15.09,2025-03-03,1134.2115384615386
3,pass3#Ge,Taylor Reed,Georgia,2345.23,58979,Entertainment,15.78,2025-03-03,1134.2115384615386
3,pass3#Ge,Taylor Reed,Georgia,2345.23,58979,Healthcare,86.08,2025-03-03,1134.2115384615386
4,pass4#Ge,Morgan Lee,Georgia,1941.04,50044,Food,56.08,2025-03-03,962.3846153846154
4,pass4#Ge,Morgan Lee,Georgia,1941.04,50044,Utilities,94.35,2025-03-03,962.3846153846154
4,pass4#Ge,Morgan Lee,Georgia,1941.04,50044,Housing,406.25,2025-03-03,962.3846153846154
4,pass4#Ge,Morgan Lee,Georgia,1941.04,50044,Transport,13.82,2025-03-03,962.3846153846154
4,pass4#Ge,Morgan Lee,Georgia,1941.04,50044,Entertainment,33.92,2025-03-03,962.3846153846154
4,pass4#Ge,Morgan Lee,Georgia,1941.04,50044,Healthcare,267.55,2025-03-03,962.3846153846154
5,pass5#Ge,Casey Brooks,Georgia,5944.48,66520,Food,57.08,2025-03-03,1279.2307692307693
5,pass5#Ge,Casey Brooks,Georgia,5944.48,66520,Utilities,138.45,2025-03-03,1279.2307692307693
5,pass5#Ge,Casey Brooks,Georgia,5944.48,66520,Housing,264.44,2025-03-03,1279.2307692307693
5,pass5#Ge,Casey Brooks,Georgia,5944.48,66520,Transport,42.2,2025-03-03,1279.2307692307693
5,pass5#Ge,Casey Brooks,Georgia,5944.48,66520,Entertainment,22.6,2025-03-03,1279.2307692307693
5,pass5#Ge,Casey Brooks,Georgia,5944.48,66520,Healthcare,114.04,2025-03-03,1279.2307692307693
6,pass6#Ge,Riley Price,Georgia,5478.26,63329,Food,84.65,2025-03-03,1217.8653846153845
6,pass6#Ge,Riley Price,Georgia,5478.26,63329,Utilities,144.02,2025-03-03,1217.8653846153845
6,pass6#Ge,Riley Price,Georgia,5478.26,63329,Housing,539.33,2025-03-03,1217.8653846153845
6,pass6#Ge,Riley Price,Georgia,5478.26,63329,Transport,39.77,2025-03-03,1217.8653846153845
6,pass6#Ge,Riley Price,Georgia,5478.26,63329,Entertainment,96.83,2025-03-03,1217.8653846153845
6,pass6#Ge,Riley Price,Georgia,5478.26,63329,Healthcare,223.29,2025-03-03,1217.8653846153845
7,pass7#Ca,Sofia Martinez,California,7159.0,69714,Food,28.14,2025-03-03,1340.6538461538462
7,pass7#Ca,Sofia Martinez,California,7159.0,69714,Utilities,41.51,2025-03-03,1340.6538461538462
7,pass7#Ca,Sofia Martinez,California,7159.0,69714,Housing,444.58,2025-03-03,1340.6538461538462
7,pass7#Ca,Sofia Martinez,California,7159.0,69714,Transport,20.58,2025-03-03,1340.6538461538462
7,pass7#Ca,Sofia Martinez,California,7159.0,69714,Entertainment,33.65,2025-03-03,1340.6538461538462
7,pass7#Ca,Sofia Martinez,California,7159.0,69714,Healthcare,325.96,2025-03-03,1340.6538461538462
8,pass8#Ca,Liam Johnson,California,878.12,61813,Food,91.41,2025-03-03,1188.7115384615386
8,pass8#Ca,Liam Johnson,California,878.12,61813,Utilities,103.26,2025-03-03,1188.7115384615386
8,pass8#Ca,Liam Johnson,California,878.12,61813,Housing,737.82,2025-03-03,1188.7115384615386
8,pass8#Ca,Liam Johnson,California,878.12,61813,Transport,29.04,2025-03-03,1188.7115384615386
8,pass8#Ca,Liam Johnson,California,878.12,61813,Entertainment,126.7,2025-03-03,1188.7115384615386
8,pass8#Ca,Liam Johnson,California,878.12,61813,Healthcare,164.53,2025-03-03,1188.7115384615386
9,pass9#Ca,Olivia Chen,California,3490.99,86564,Food,31.64,2025-03-03,1664.6923076923076
9,pass9#Ca,Olivia Chen,California,3490.99,86564,Utilities,88.39,2025-03-03,1664.6923076923076
9,pass9#Ca,Olivia Chen,California,3490.99,86564,Housing,656.68,2025-03-03,1664.6923076923076
9,pass9#Ca,Olivia Chen,California,3490.99,86564,Transport,20.25,2025-03-03,1664.6923076923076
9,pass9#Ca,Olivia Chen,California,3490.99,86564,Entertainment,83.06,2025-03-03,1664.6923076923076
9,pass9#Ca,Olivia Chen,California,3490.99,86564,Healthcare,310.92,2025-03-03,1664.6923076923076
10,pass10#Ca,Noah Davis,California,432.42,81133,Food,44.79,2025-03-03,1560.25
10,pass10#Ca,Noah Davis,California,432.42,81133,Utilities,82.42,2025-03-03,1560.25
10,pass10#Ca,Noah Davis,California,432.42,81133,Housing,1032.88,2025-03-03,1560.25
10,pass10#Ca,Noah Davis,California,432.42,81133,Transport,36.57,2025-03-03,1560.25
10,pass10#Ca,Noah Davis,California,432.42,81133,Entertainment,17.77,2025-03-03,1560.25
10,pass10#Ca,Noah Davis,California,432.42,81133,Healthcare,27.21,2025-03-03,1560.25
11,pass11#Ca,Ava Patel,California,1905.38,94799,Food,16.47,2025-03-03,1823.0576923076924
11,pass11#Ca,Ava Patel,California,1905.38,94799,Utilities,171.6,2025-03-03,1823.0576923076924
11,pass11#Ca,Ava Patel,California,1905.38,94799,Housing,855.67,2025-03-03,1823.0576923076924
11,pass11#Ca,Ava Patel,California,1905.38,94799,Transport,30.79,2025-03-03,1823.0576923076924
11,pass11#Ca,Ava Patel,California,1905.38,94799,Entertainment,14.15,2025-03-03,1823.0576923076924
11,pass11#Ca,Ava Patel,California,1905.38,94799,Healthcare,138.77,2025-03-03,1823.0576923076924
12,pass12#Ca,Mason Rivera,California,4141.77,98909,Food,57.14,2025-03-03,1902.0961538461538
12,pass12#Ca,Mason Rivera,California,4141.77,98909,Utilities,246.68,2025-03-03,1902.0961538461538
12,pass12#Ca,Mason Rivera,California,4141.77,98909,Housing,914.92,2025-03-03,1902.0961538461538
12,pass12#Ca,Mason Rivera,California,4141.77,98909,Transport,3.63,2025-03-03,1902.0961538461538
12,pass12#Ca,Mason Rivera,California,4141.77,98909,Entertainment,101.07,2025-03-03,1902.0961538461538
12,pass12#Ca,Mason Rivera,California,4141.77,98909,Healthcare,238.85,2025-03-03,1902.0961538461538
13,pass13#Ne,Ethan Clark,New York,406.98,94178,Food,55.71,2025-03-03,1811.1153846153845
13,pass13#Ne,Ethan Clark,New York,406.98,94178,Utilities,88.77,2025-03-03,1811.1153846153845
13,pass13#Ne,Ethan Clark,New York,406.98,94178,Housing,693.79,2025-03-03,1811.1153846153845
13,pass13#Ne,Ethan Clark,New York,406.98,94178,Transport,9.81,2025-03-03,1811.1153846153845
13,pass13#Ne,Ethan Clark,New York,406.98,94178,Entertainment,60.5,2025-03-03,1811.1153846153845
13,pass13#Ne,Ethan Clark,New York,406.98,94178,Healthcare,155.74,2025-03-03,1811.1153846153845
14,pass14#Ne,Isabella Scott,New York,1750.93,87343,Food,94.68,2025-03-03,1679.673076923077
14,pass14#Ne,Isabella Scott,New York,1750.93,87343,Utilities,216.05,2025-03-03,1679.673076923077
14,pass14#Ne,Isabella Scott,New York,1750.93,87343,Housing,382.3,2025-03-03,1679.673076923077
14,pass14#Ne,Isabella Scott,New York,1750.93,87343,Transport,34.41,2025-03-03,1679.673076923077
14,pass14#Ne,Isabella Scott,New York,1750.93,87343,Entertainment,28.1,2025-03-03,1679.673076923077
14,pass14#Ne,Isabella Scott,New York,1750.93,87343,Healthcare,302.13,2025-03-03,1679.673076923077
15,pass15#Ne,Mia Thompson,New York,5269.1,88853,Food,86.89,2025-03-03,1708.7115384615386
15,pass15#Ne,Mia Thompson,New York,5269.1,88853,Utilities,95.37,2025-03-03,1708.7115384615386
15,pass15#Ne,Mia Thompson,New York,5269.1,88853,Housing,692.13,2025-03-03,1708.7115384615386
15,pass15#Ne,Mia Thompson,New York,5269.1,88853,Transport,41.27,2025-03-03,1708.7115384615386
15,pass15#Ne,Mia Thompson,New York,5269.1,88853,Entertainment,24.83,2025-03-03,1708.7115384615386
15,pass15#Ne,Mia Thompson,New York,5269.1,88853,Healthcare,254.24,2025-03-03,1708.7115384615386
16,pass16#Ne,Lucas Walker,New York,4450.54,76051,Food,55.93,2025-03-03,1462.5192307692307
16,pass16#Ne,Lucas Walker,New York,4450.54,76051,Utilities,195.73,2025-03-03,1462.5192307692307
16,pass16#Ne,Lucas Walker,New York,4450.54,76051,Housing,602.54,2025-03-03,1462.5192307692307
16,pass16#Ne,Lucas Walker,New York,4450.54,76051,Transport,2.79,2025-03-03,1462.5192307692307
16,pass16#Ne,Lucas Walker,New York,4450.54,76051,Entertainment,46.51,2025-03-03,1462.5192307692307
16,pass16#Ne,Lucas Walker,New York,4450.54,76051,Healthcare,17.21,2025-03-03,1462.5192307692307
17,pass17#Ne,Charlotte King,New York,1919.44,74882,Food,92.37,2025-03-03,1440.0384615384614
17,pass17#Ne,Charlotte King,New York,1919.44,74882,Utilities,216.65,2025-03-03,1440.0384615384614
17,pass17#Ne,Charlotte King,New York,1919.44,74882,Housing,851.12,2025-03-03,1440.0384615384614
17,pass17#Ne,Charlotte King,New York,1919.44,74882,Transport,22.2,2025-03-03,1440.0384615384614
17,pass17#Ne,Charlotte King,New York,1919.44,74882,Entertainment,12.83,2025-03-03,1440.0384615384614
17,pass17#Ne,Charlotte King,New York,1919.44,74882,Healthcare,291.09,2025-03-03,1440.0384615384614
18,pass18#Ne,Henry Young,New York,4796.27,105296,Food,94.04,2025-03-03,2024.923076923077
18,pass18#Ne,Henry Young,New York,4796.27,105296,Utilities,50.9,2025-03-03,2024.923076923077
18,pass18#Ne,Henry Young,New York,4796.27,105296,Housing,565.94,2025-03-03,2024.923076923077
18,pass18#Ne,Henry Young,New York,4796.27,105296,Transport,7.13,2025-03-03,2024.923076923077
18,pass18#Ne,Henry Young,New York,4796.27,105296,Entertainment,101.72,2025-03-03,2024.923076923077
18,pass18#Ne,Henry Young,New York,4796.27,105296,Healthcare,255.3,2025-03-03,2024.923076923077
19,pass19#Te,Amelia Flores,Texas,6513.56,57109,Food,14.64,2025-03-03,1098.25
19,pass19#Te,Amelia Flores,Texas,6513.56,57109,Utilities,110.68,2025-03-03,1098.25
19,pass19#Te,Amelia Flores,Texas,6513.56,57109,Housing,517.36,2025-03-03,1098.25
19,pass19#Te,Amelia Flores,Texas,6513.56,57109,Transport,16.32,2025-03-03,1098.25
19,pass19#Te,Amelia Flores,Texas,6513.56,57109,Entertainment,96.9,2025-03-03,1098.25
19,pass19#Te,Amelia Flores,Texas,6513.56,57109,Healthcare,122.09,2025-03-03,1098.25
20,pass20#Te,William Turner,Texas,250.69,60508,Food,21.16,2025-03-03,1163.6153846153845
20,pass20#Te,William Turner,Texas,250.69,60508,Utilities,121.87,2025-03-03,1163.6153846153845
20,pass20#Te,William Turner,Texas,250.69,60508,Housing,641.65,2025-03-03,1163.6153846153845
20,pass20#Te,William Turner,Texas,250.69,60508,Transport,12.94,2025-03-03,1163.6153846153845
20,pass20#Te,William Turner,Texas,250.69,60508,Entertainment,37.58,2025-03-03,1163.6153846153845
20,pass20#Te,William Turner,Texas,250.69,60508,Healthcare,274.71,2025-03-03,1163.6153846153845
21,pass21#Te,Harper Kelly,Texas,6485.39,65626,Food,55.42,2025-03-03,1262.0384615384614
21,pass21#Te,Harper Kelly,Texas,6485.39,65626,Utilities,104.18,2025-03-03,1262.0384615384614
21,pass21#Te,Harper Kelly,Texas,6485.39,65626,Housing,495.13,2025-03-03,1262.0384615384614
21,pass21#Te,Harper Kelly,Texas,6485.39,65626,Transport,8.7,2025-03-03,1262.0384615384614
21,pass21#Te,Harper Kelly,Texas,6485.39,65626,Entertainment,28.37,2025-03-03,1262.0384615384614
21,pass21#Te,Harper Kelly,Texas,6485.39,65626,Healthcare,99.4,2025-03-03,1262.0384615384614
22,pass22#Te,James Cooper,Texas,5645.49,71131,Food,50.61,2025-03-03,1367.9038461538462
22,pass22#Te,James Cooper,Texas,5645.49,71131,Utilities,67.82,2025-03-03,1367.9038461538462
22,pass22#Te,James Cooper,Texas,5645.49,71131,Housing,289.95,2025-03-03,1367.9038461538462
22,pass22#Te,James Cooper,Texas,5645.49,71131,Transport,6.06,2025-03-03,1367.9038461538462
22,pass22#Te,James Cooper,Texas,5645.49,71131,Entertainment,71.37,2025-03-03,1367.9038461538462
22,pass22#Te,James Cooper,Texas,5645.49,71131,Healthcare,70.28,2025-03-03,1367.9038461538462
23,pass23#Te,Evelyn Ward,Texas,2853.95,68288,Food,75.4,2025-03-03,1313.2307692307693
23,pass23#Te,Evelyn Ward,Texas,2853.95,68288,Utilities,177.86,2025-03-03,1313.2307692307693
23,pass23#Te,Evelyn Ward,Texas,2853.95,68288,Housing,186.89,2025-03-03,1313.2307692307693
23,pass23#Te,Evelyn Ward,Texas,2853.95,68288,Transport,14.89,2025-03-03,1313.2307692307693
23,pass23#Te,Evelyn Ward,Texas,2853.95,68288,Entertainment,75.38,2025-03-03,1313.2307692307693
23,pass23#Te,Evelyn Ward,Texas,2853.95,68288,Healthcare,66.36,2025-03-03,1313.2307692307693
24,pass24#Te,Benjamin Cook,Texas,1412.74,60241,Food,14.95,2025-03-03,1158.4807692307693
24,pass24#Te,Benjamin Cook,Texas,1412.74,60241,Utilities,191.13,2025-03-03,1158.4807692307693
24,pass24#Te,Benjamin Cook,Texas,1412.74,60241,Housing,532.02,2025-03-03,1158.4807692307693
24,pass24#Te,Benjamin Cook,Texas,1412.74,60241,Transport,27.3,2025-03-03,1158.4807692307693
24,pass24#Te,Benjamin Cook,Texas,1412.74,60241,Entertainment,87.61,2025-03-03,1158.4807692307693
24,pass24#Te,Benjamin Cook,Texas,1412.74,60241,Healthcare,224.64,2025-03-03,1158.4807692307693
