id,password,name,location,balance,purchase_type,purchase_amount,purchase_date
1,pass001,User001,California,6225.59,Food,1556.1,7/6/2025
1,pass001,User001,California,6225.59,Housing,1070.81,7/9/2025
1,pass001,User001,California,6225.59,Transport,505.34,7/12/2025
1,pass001,User001,California,6225.59,Housing,1225.52,7/14/2025
1,pass001,User001,California,6225.59,Healthcare,1667.41,7/17/2025
1,pass001,User001,California,6225.59,Food,200.58,7/21/2025
1,pass001,User001,California,6225.59,Entertainment,26.73,7/25/2025
1,pass001,User001,California,6225.59,Food,422.19,7/29/2025
1,pass001,User001,California,6225.59,Entertainment,628.45,8/1/2025
1,pass001,User001,California,6225.59,Food,1768.46,8/3/2025
1,pass001,User001,California,6225.59,Housing,1004.13,8/7/2025
1,pass001,User001,California,6225.59,Housing,1718.34,8/10/2025
1,pass001,User001,California,6225.59,Housing,1434.13,8/13/2025
1,pass001,User001,California,6225.59,Healthcare,638.27,8/18/2025
1,pass001,User001,California,6225.59,Food,262.84,8/20/2025
1,pass001,User001,California,6225.59,Entertainment,1212.27,8/22/2025
1,pass001,User001,California,6225.59,Utilities,1882.81,8/26/2025
1,pass001,User001,California,6225.59,Transport,239.51,8/28/2025
1,pass001,User001,California,6225.59,Housing,1673.38,9/3/2025
1,pass001,User001,California,6225.59,Utilities,656.01,9/5/2025
1,pass001,User001,California,6225.59,Healthcare,1672.29,9/9/2025
1,pass001,User001,California,6225.59,Food,1463.67,9/11/2025
1,pass001,User001,California,6225.59,Healthcare,1022.46,9/14/2025
1,pass001,User001,California,6225.59,Housing,1624.93,9/19/2025
1,pass001,User001,California,6225.59,Entertainment,861.75,9/20/2025
1,pass001,User001,California,6225.59,Utilities,126.85,9/25/2025
2,pass002,User002,Georgia,3303.01,Entertainment,1284.36,7/6/2025
2,pass002,User002,Georgia,3303.01,Healthcare,747.41,7/10/2025
2,pass002,User002,Georgia,3303.01,Food,670.55,7/12/2025
2,pass002,User002,Georgia,3303.01,Entertainment,780.22,7/15/2025
2,pass002,User002,Georgia,3303.01,Food,903.11,7/17/2025
2,pass002,User002,Georgia,3303.01,Food,567.37,7/23/2025
2,pass002,User002,Georgia,3303.01,Utilities,1167.88,7/25/2025
2,pass002,User002,Georgia,3303.01,Healthcare,25.79,7/28/2025
2,pass002,User002,Georgia,3303.01,Transport,533.77,7/31/2025
